true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,correct
5.0,5,-2.0279725,1.2582175,-1.40906,0.28730482,-1.8183767,8.922016,-1.3989017,-0.933221,-0.12842144,-1.1116052,1
5.0,5,-2.0287125,1.2554862,-1.4076958,0.28583094,-1.819375,8.92323,-1.3968716,-0.93213904,-0.12776615,-1.1110479,1
5.0,5,-2.0241477,1.2537676,-1.398908,0.28255618,-1.8165323,8.924712,-1.3974059,-0.9303893,-0.13710688,-1.1111363,1
5.0,5,-2.027239,1.2602689,-1.409889,0.28439304,-1.815332,8.921661,-1.3998772,-0.9318439,-0.13055897,-1.1113503,1
5.0,5,-2.0279415,1.2523358,-1.404761,0.28749612,-1.8227819,8.924025,-1.3953882,-0.93308055,-0.12692866,-1.1109167,1
5.0,5,-2.0277262,1.2597098,-1.4104346,0.2870595,-1.8168763,8.921496,-1.3999149,-0.9333266,-0.12870823,-1.1117214,1
5.0,5,-2.2817245,1.1047357,-0.38205564,-0.47692955,-1.143791,9.289867,-1.2911533,-0.84648097,-1.1352968,-1.2293124,1
5.0,5,-2.2822697,1.0938941,-0.38174674,-0.47737646,-1.1456432,9.293174,-1.2842964,-0.84554183,-1.1317586,-1.2281194,1
5.0,5,-2.2768772,1.0989069,-0.36284798,-0.4848007,-1.1413177,9.289804,-1.2888732,-0.8418498,-1.1461827,-1.2297033,1
5.0,5,-2.279931,1.0983679,-0.37661874,-0.47855705,-1.1459337,9.291796,-1.2881488,-0.8458735,-1.1351396,-1.2284071,1
5.0,5,-2.2812085,1.0905966,-0.3726824,-0.47799182,-1.1482933,9.293288,-1.2836876,-0.84752333,-1.1319556,-1.2282195,1
5.0,5,-2.2815392,1.1052635,-0.38370904,-0.47679073,-1.1432277,9.290064,-1.2915813,-0.8463774,-1.1351694,-1.2291728,1
5.0,5,-0.71765894,3.2307985,2.234838,-1.5625159,-5.051639,6.7602606,-2.8719437,-1.790459,2.290153,-1.1899738,1
5.0,5,-0.7247733,3.2322037,2.2279718,-1.5639982,-5.0508833,6.766278,-2.8711407,-1.7874262,2.290894,-1.1894662,1
5.0,5,-0.7236381,3.2374127,2.2307258,-1.5631024,-5.048207,6.7651515,-2.8725197,-1.7861414,2.2803333,-1.1898595,1
5.0,5,-0.7216083,3.2313843,2.2329319,-1.5631874,-5.0506115,6.764288,-2.8715339,-1.7880614,2.2875133,-1.1896837,1
5.0,5,-0.71945155,3.2278388,2.2348282,-1.5636046,-5.0532923,6.761926,-2.8711138,-1.7903283,2.2947562,-1.1895794,1
5.0,5,-0.71691257,3.2300446,2.2361467,-1.5626462,-5.0521955,6.759804,-2.8718607,-1.7908309,2.29074,-1.1899438,1
3.0,3,-1.2983062,-1.9574212,-1.5107284,8.935169,-1.3900806,-0.76800317,-0.70802623,-1.6876171,-1.3386139,-0.82727075,1
3.0,3,-1.2983068,-1.9574213,-1.5107291,8.935169,-1.3900807,-0.7680036,-0.7080261,-1.6876161,-1.3386139,-0.8272705,1
3.0,3,-1.2983059,-1.9574219,-1.5107282,8.935168,-1.3900808,-0.7680034,-0.7080259,-1.6876168,-1.3386141,-0.82727045,1
3.0,3,-1.2983063,-1.9574208,-1.5107281,8.935168,-1.3900802,-0.7680023,-0.70802766,-1.6876172,-1.3386137,-0.8272706,1
3.0,3,-1.298306,-1.9574212,-1.5107281,8.935169,-1.3900801,-0.76800287,-0.70802647,-1.6876173,-1.3386141,-0.82727057,1
3.0,3,-1.2983067,-1.9574217,-1.5107287,8.935169,-1.3900806,-0.76800334,-0.7080261,-1.6876168,-1.3386136,-0.82727075,1
7.0,7,0.8423824,0.24853683,-1.2395546,-0.18846226,-1.7011737,-0.8426628,-1.2530239,8.618293,-2.005472,-0.52724177,1
7.0,7,0.84238267,0.24853668,-1.2395545,-0.18846223,-1.7011739,-0.8426624,-1.2530239,8.618293,-2.005472,-0.52724177,1
7.0,7,0.8423828,0.24853665,-1.2395546,-0.18846276,-1.7011734,-0.8426624,-1.2530239,8.618293,-2.0054717,-0.5272417,1
7.0,7,0.84238285,0.24853683,-1.2395544,-0.18846247,-1.7011739,-0.8426624,-1.253024,8.618293,-2.005472,-0.52724177,1
7.0,7,0.8423824,0.24853668,-1.2395544,-0.18846211,-1.7011735,-0.84266293,-1.2530242,8.618293,-2.005472,-0.52724177,1
7.0,7,0.842382,0.24853641,-1.2395542,-0.18846211,-1.7011734,-0.8426626,-1.2530242,8.618294,-2.0054722,-0.5272419,1
1.0,1,-0.36219674,8.279995,-2.7346594,-1.985207,-1.7823567,0.10466384,2.5558808,-2.050075,-2.767748,-1.167464,1
1.0,1,-0.36318058,8.279852,-2.734942,-1.9845256,-1.781634,0.104626864,2.5562847,-2.0503829,-2.7677357,-1.1675432,1
1.0,1,-0.36359596,8.279737,-2.7349877,-1.984181,-1.7813393,0.10434585,2.556677,-2.050576,-2.7677052,-1.1675745,1
1.0,1,-0.36213014,8.279234,-2.7348607,-1.9851896,-1.7824833,0.104812235,2.5573654,-2.0500617,-2.767706,-1.167505,1
1.0,1,-0.36310983,8.279716,-2.7349632,-1.9845637,-1.7817324,0.10455923,2.5565195,-2.050278,-2.7676773,-1.1675388,1
1.0,1,-0.3620318,8.279997,-2.7346416,-1.9853295,-1.782488,0.10472305,2.5558202,-2.0499914,-2.7677367,-1.1674535,1
2.0,2,-0.9070671,-1.2578062,9.814979,-1.0126901,-1.8154643,-1.1466714,-0.75554866,-0.5098466,-0.8993519,-0.29722315,1
2.0,2,-0.90669423,-1.2580585,9.814987,-1.012723,-1.8157336,-1.1461529,-0.75558966,-0.5100838,-0.8993031,-0.29721034,1
2.0,2,-0.9067796,-1.257536,9.815006,-1.0124489,-1.8155813,-1.1469094,-0.7557317,-0.5101123,-0.8992643,-0.2972075,1
2.0,2,-0.9068557,-1.2573969,9.815012,-1.012447,-1.8154957,-1.1467229,-0.7558674,-0.5101364,-0.8994036,-0.29723704,1
2.0,2,-0.9061541,-1.2584103,9.815016,-1.0126853,-1.8161324,-1.1461996,-0.7555052,-0.5102643,-0.8990356,-0.29714975,1
2.0,2,-0.9069942,-1.2578495,9.814983,-1.012663,-1.8155159,-1.146707,-0.75554776,-0.5098847,-0.89928734,-0.29721254,1
0.0,0,8.871555,-0.6885914,-0.9037868,-1.8144134,-2.0620618,1.1363562,-1.9091046,-0.8918712,-1.2812574,-0.76591295,1
0.0,0,8.871553,-0.6885909,-0.903786,-1.814412,-2.0620623,1.1363568,-1.909105,-0.8918712,-1.2812588,-0.76591307,1
0.0,0,8.871553,-0.6885904,-0.9037858,-1.8144124,-2.0620618,1.1363571,-1.9091051,-0.89187217,-1.281259,-0.765913,1
0.0,0,8.871555,-0.6885906,-0.9037864,-1.8144125,-2.062062,1.1363559,-1.9091043,-0.8918719,-1.2812587,-0.76591295,1
0.0,0,8.871555,-0.6885906,-0.90378684,-1.814413,-2.0620615,1.1363559,-1.9091046,-0.8918717,-1.2812581,-0.7659129,1
0.0,0,8.871556,-0.68859106,-0.9037867,-1.8144137,-2.0620613,1.1363558,-1.9091038,-0.89187217,-1.2812574,-0.76591283,1
4.0,4,-1.2156715,1.9627959,-2.898906,-1.274036,6.0361342,2.7902713,-1.5211596,-1.5196159,-0.36494997,-1.3532009,1
4.0,4,-1.2157139,1.9627115,-2.898926,-1.2740406,6.0361233,2.7904067,-1.5211118,-1.5196083,-0.3649447,-1.3531926,1
4.0,4,-1.2156909,1.9627155,-2.898924,-1.2740351,6.0361104,2.79041,-1.5211068,-1.5196042,-0.3649686,-1.3531936,1
4.0,4,-1.2156914,1.9627186,-2.898916,-1.2740383,6.036053,2.790463,-1.5211097,-1.5195998,-0.36495215,-1.3531954,1
4.0,4,-1.215698,1.9627644,-2.8989177,-1.2740387,6.036175,2.790276,-1.521145,-1.5196182,-0.36494675,-1.353197,1
4.0,4,-1.2156674,1.9627961,-2.8989093,-1.274035,6.036152,2.7902515,-1.5211589,-1.5196174,-0.36495805,-1.3532008,1
3.0,3,-0.75163007,-1.4548845,-1.262571,9.218354,-1.0753164,-0.75418866,-2.1546178,-1.8227099,-1.7559656,-0.97863543,1
3.0,3,-0.75163037,-1.4548848,-1.2625707,9.218354,-1.0753163,-0.75418895,-2.1546175,-1.8227098,-1.7559656,-0.9786352,1
3.0,3,-0.75162977,-1.4548846,-1.262571,9.218355,-1.0753165,-0.7541879,-2.1546173,-1.8227097,-1.7559654,-0.9786351,1
