true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,prob_class_20,prob_class_21,prob_class_22,correct
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
4.0,4,3.326493,1.0945437,-0.1404022,3.2555645,3.4859917,-2.5687873,-1.7775388,-2.2194343,-2.7153306,-2.2090452,-1.5528333,-2.1899643,-2.3957632,-2.2263138,-2.3694935,-2.1313372,-1.115433,-1.86861,-2.5823662,-1.797261,-1.8984723,-2.6336238,-2.08083,1
1.0,1,0.13055962,6.7817345,0.19519946,0.95856845,3.6821887,-2.095583,-1.7824378,-1.6858137,-2.119012,-2.033491,-1.5249641,-1.8076928,-2.1666036,-2.065495,-1.9563197,-1.9809842,-0.86206096,-1.7650626,-2.2623286,-1.5657734,-1.5147953,-2.5267105,-1.7117612,1
1.0,1,0.13055962,6.7817345,0.19519946,0.95856845,3.6821887,-2.095583,-1.7824378,-1.6858137,-2.119012,-2.033491,-1.5249641,-1.8076928,-2.1666036,-2.065495,-1.9563197,-1.9809842,-0.86206096,-1.7650626,-2.2623286,-1.5657734,-1.5147953,-2.5267105,-1.7117612,1
1.0,1,0.13055962,6.781735,0.19519922,0.9585688,3.6821885,-2.0955827,-1.7824378,-1.6858135,-2.119012,-2.033491,-1.5249639,-1.8076928,-2.1666036,-2.065495,-1.9563197,-1.9809842,-0.8620609,-1.7650626,-2.2623286,-1.5657735,-1.5147953,-2.5267107,-1.7117612,1
1.0,1,0.13056147,6.7817364,0.19519809,0.9585674,3.6821904,-2.0955827,-1.782438,-1.6858137,-2.119012,-2.033491,-1.5249639,-1.8076928,-2.1666036,-2.065495,-1.9563197,-1.9809842,-0.8620607,-1.7650626,-2.2623289,-1.5657735,-1.5147952,-2.5267107,-1.711761,1
