true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,correct
8.0,10,-1.5208522,-0.85059845,0.25574064,-1.374854,-0.774159,-3.4567173,-1.1756616,-2.8961973,2.0718277,-2.5331035,8.488642,0
8.0,10,-1.5518821,-0.8541622,0.25965926,-1.3778017,-0.7698893,-3.4412246,-1.172049,-2.8516994,1.9907761,-2.521579,8.509202,0
8.0,10,-1.5766093,-0.86127746,0.2281267,-1.3708045,-0.7907493,-3.4502325,-1.1865678,-2.784089,2.0135987,-2.5203798,8.518992,0
8.0,10,-1.5589732,-0.8577572,0.24031651,-1.3750787,-0.7829314,-3.4502714,-1.1815693,-2.8192663,2.0164661,-2.5214198,8.5123205,0
8.0,10,-1.5556602,-0.85611546,0.24995768,-1.3745488,-0.7754171,-3.4449897,-1.1759018,-2.8412597,2.0189347,-2.5273402,8.50659,0
8.0,10,-1.4919494,-0.8266861,0.23860231,-1.4088391,-0.791189,-3.488084,-1.1767225,-2.8851218,2.0453641,-2.5098414,8.506452,0
2.0,2,-4.0783634,-1.4837546,7.547267,-0.08867393,-1.2350488,3.9033384,1.1945008,0.93953514,-3.1928954,-0.5530894,-2.3486254,1
2.0,2,-4.0783634,-1.4837542,7.547267,-0.08867521,-1.235049,3.9033382,1.1944993,0.9395373,-3.192895,-0.55308926,-2.3486252,1
2.0,2,-4.0783634,-1.4837544,7.547266,-0.088675,-1.2350489,3.9033382,1.1945009,0.93953586,-3.1928947,-0.55308956,-2.348625,1
2.0,2,-4.0783644,-1.483754,7.547266,-0.088675834,-1.2350495,3.9033394,1.1945006,0.93953705,-3.1928942,-0.5530901,-2.348625,1
2.0,2,-4.0783634,-1.4837539,7.5472655,-0.08867524,-1.235049,3.9033396,1.1945015,0.93953526,-3.1928942,-0.55308986,-2.3486252,1
2.0,2,-4.078365,-1.4837546,7.547265,-0.088675626,-1.2350492,3.903341,1.1945024,0.93953645,-3.192893,-0.55309093,-2.3486247,1
9.0,9,1.0634449,-0.8614904,-1.7143209,-0.54264975,-1.8284917,-3.24037,-0.27280653,1.2966255,-3.3462567,8.036232,-0.9116397,1
9.0,9,1.0634443,-0.8614904,-1.7143197,-0.54264903,-1.828491,-3.2403703,-0.27280602,1.2966244,-3.3462567,8.036231,-0.91164076,1
9.0,9,1.0634444,-0.8614905,-1.71432,-0.54264903,-1.8284917,-3.2403703,-0.27280593,1.2966249,-3.3462567,8.036231,-0.9116403,1
9.0,9,1.0634447,-0.86149037,-1.714321,-0.54265,-1.8284914,-3.2403703,-0.27280575,1.2966249,-3.346257,8.036231,-0.91163945,1
