role,class_name,label,f0,f1,f2,f3,f4,f5,f6
real_missing,triangle,1,1.1006800236184453,0.8,0.18611598014831543,0.8,0.12752321362495422,0.746525764465332,0.8674250245094299
pseudo,triangle,1,0.9976825340594694,1.0,0.18178848359093283,1.0,0.2617063722200078,0.865215603638942,0.8813952056288579
pseudo,triangle,1,0.7410284037317153,0.8,0.18181287871782717,0.8,0.19020389366597001,0.8084502099265154,0.8478002418293858
pseudo,triangle,1,1.2102344088179178,1.0,0.22720188037490865,1.0,0.4573697338482348,0.8246955661719487,0.9382346266247586
pseudo,triangle,1,1.4549310843935994,1.0,0.21043353582003094,1.0,0.43460355366742914,0.8250203950140044,0.8573389060210448
pseudo,triangle,1,1.13567375803677,0.8,0.1878992161506269,0.8,0.2761420841648554,0.878384177693302,0.8883454384168937
pseudo,triangle,1,0.9628987941558265,1.0,0.21370892021861326,1.0,0.416645232195752,0.8885844253800499,0.9139753443800982
pseudo,triangle,1,0.7693739728945314,1.0,0.20360453311895738,1.0,0.3096378087303348,0.8521244758598964,0.9107615568470434
pseudo,triangle,1,1.0180387079137723,1.0,0.1941721403973582,1.0,0.29500620649388143,0.8958905123719608,0.9189587703019326
pseudo,triangle,1,0.946489769254631,1.0,0.18639450428056975,1.0,0.24878785292733338,0.7403416839222218,0.854090467186283
pseudo,triangle,1,1.3167643866688603,0.8,0.1950314254429088,0.8,0.3008463083785113,0.8053783624554813,0.8796788250777547
pseudo,triangle,1,0.8280287015791548,1.0,0.18796087530874833,1.0,0.22090104050244003,0.787727290932969,0.8769903053679882
pseudo,triangle,1,0.7991844666696576,1.0,0.1956432082188421,1.0,0.2530139233181551,0.8400136832630498,0.8642647921829941
pseudo,triangle,1,1.310156547737984,1.0,0.20407383129408013,1.0,0.31452393409414736,0.8196811855507623,0.8461578020507768
pseudo,triangle,1,1.1002337078808253,1.0,0.22184919507976786,1.0,0.41375115992363415,0.8076409090377807,0.9112629952942338
pseudo,triangle,1,1.1279138217738782,1.0,0.19107321441235312,1.0,0.26868217624865054,0.7519311532379266,0.9096399757450218
pseudo,triangle,1,1.138259834091698,1.0,0.1835373451021459,1.0,0.2878397135830778,0.7702287740572223,0.8690071844634758
pseudo,triangle,1,1.0273172956957526,1.0,0.19216147673265166,1.0,0.23989120005231954,0.8037358067280718,0.864077391368321
pseudo,triangle,1,1.1185115765229774,1.0,0.1801388807204321,1.0,0.2291851476986909,0.701746567357112,0.874304859729944
pseudo,triangle,1,1.1840058412263368,1.0,0.20322900121247223,1.0,0.2912579636403364,0.821621011538716,0.8372754066699648
pseudo,triangle,1,1.2183776432995204,1.0,0.1790675075842995,1.0,0.19436770973620113,0.801715075781777,0.8082955253730582
pseudo,triangle,1,1.4035022768691965,1.0,0.20134167119780075,1.0,0.29609062787206114,0.8186209821160995,0.858152311615429
pseudo,triangle,1,0.7451173190784602,1.0,0.179620230792526,1.0,0.20952534371504378,0.723378735567414,0.8177360946298486
pseudo,triangle,1,0.8772261247530626,0.8,0.1841277981165162,0.8,0.2340061455713675,0.8124095726751795,0.8348518462009749
pseudo,triangle,1,0.9886258796273575,1.0,0.20132303757644046,1.0,0.28026528051092015,0.872848479342552,0.9250027111043265
pseudo,triangle,1,1.0730461472726702,1.0,0.19005101178821415,1.0,0.3093382319024899,0.775885141435293,0.8823832938905205
pseudo,triangle,1,0.9085085754594442,1.0,0.1964568142742967,1.0,0.30319389842645456,0.8438848608894833,0.875172738357687
pseudo,triangle,1,1.149053086848212,1.0,0.1981394687671499,1.0,0.3576768055160325,0.8404120730973828,0.906115950756257
pseudo,triangle,1,0.8825401169797373,1.0,0.21283836842859016,1.0,0.36263315188547784,0.7972771402004567,0.9114768193799438
pseudo,triangle,1,1.1054950466306337,1.0,0.20019880830230022,1.0,0.34971153539782207,0.7587440591602448,0.9277405370575424
pseudo,triangle,1,1.035163031360743,1.0,0.20178473409705813,1.0,0.3234105294303323,0.8327976279499001,0.8526386386192741
pseudo,triangle,1,1.2140118332506522,1.0,0.2085062050084716,1.0,0.350503469229943,0.7476100641409277,0.893737244981004
pseudo,triangle,1,1.3483894707537716,1.0,0.1948087953507322,1.0,0.2885368154820741,0.718018925157402,0.9191378283063325
pseudo,triangle,1,0.9357350937077218,1.0,0.20413275402668957,1.0,0.3038192103733527,0.7305989672121622,0.8656181368407139
pseudo,triangle,1,0.7483285345228935,1.0,0.20178447984561992,1.0,0.22672595219130742,0.7177209478052445,0.8856687401709488
pseudo,triangle,1,1.3458350665541023,1.0,0.21732095272833232,1.0,0.3959902870620951,0.8526690979206905,0.9027197294984175
pseudo,triangle,1,0.9437414657581853,1.0,0.20645908712321898,1.0,0.3604636661525702,0.7622944019781079,0.9220376695742871
pseudo,triangle,1,0.8174934630070375,1.0,0.18599323068860013,1.0,0.22834828405894986,0.7091731167069554,0.8366632708730245
pseudo,triangle,1,0.7956359996397255,1.0,0.1954479318672585,1.0,0.24649480208206742,0.8640609938249286,0.889388373160517
pseudo,triangle,1,1.0027520878933907,1.0,0.17573372208382,1.0,0.23809632778352058,0.8261234688884715,0.8269204286254042
pseudo,triangle,1,1.0757946917229755,1.0,0.2203782060672362,1.0,0.3867640014986089,0.9048908424732791,0.9104622825868313
real_missing,question mark,1,0.8162116048141573,0.4,0.15588322281837463,0.4,-0.06422130018472672,0.6642295718193054,0.7509020566940308
pseudo,question mark,1,0.7647431604181492,1.0,0.1648443781756689,1.0,0.12429808434181382,0.803638888164739,0.8074512446640626
pseudo,question mark,1,0.7596852286134097,0.8,0.18367616034947604,0.8,0.20430546872044952,0.6547913874131835,0.8379577740747893
pseudo,question mark,1,0.7822048892921881,0.6,0.15503342114273366,0.6,0.02711236930860017,0.760498788703305,0.8080248363683838
pseudo,question mark,1,0.8750149774860325,0.8,0.16513673638026288,0.8,0.1707770926565569,0.7119285806147294,0.8342110691785763
pseudo,question mark,1,0.8336463878744628,1.0,0.16293560119184033,1.0,0.15299374259388748,0.6373354988156282,0.7967721413620994
pseudo,question mark,1,0.6697078597896546,1.0,0.1830433956720499,1.0,0.20675519935360143,0.7311238606863711,0.842901078795684
pseudo,question mark,1,1.075981233555516,1.0,0.17411542214120512,1.0,0.24449643700655277,0.7055755824380032,0.7819411254386748
pseudo,question mark,1,0.6764754294855863,0.8,0.1843247891669029,0.8,0.17389750742129148,0.7183349482869192,0.8235847418823055
pseudo,question mark,1,0.9356439071199082,0.8,0.16986605049993814,0.8,0.13370517612027413,0.7353194240115316,0.8049563625799846
pseudo,question mark,1,1.0156778794157788,0.6,0.16299850061609353,0.6,0.09525588577223117,0.7006022337292931,0.7710648053241078
pseudo,question mark,1,0.871732236974028,1.0,0.1846423036749624,1.0,0.23939728140983485,0.7640081819700695,0.7865272746177622
pseudo,question mark,1,1.1242581239008067,0.8,0.1505369602794632,0.8,0.11513135817936397,0.6206906876900127,0.8344544401697022
pseudo,question mark,1,0.5959245160918826,1.0,0.17378262147836793,1.0,0.16250241167559648,0.6529853844372335,0.7200827427502283
pseudo,question mark,1,0.9917855118436856,1.0,0.18915040724571147,1.0,0.2696530593560075,0.8063978921062144,0.8710603113125379
pseudo,question mark,1,0.9334818256553623,1.0,0.18257198273432884,1.0,0.19885675280523557,0.6254529204857204,0.7864242346625098
pseudo,question mark,1,1.0696265990203908,1.0,0.1557251341450005,1.0,0.15679753040098043,0.7291830869206053,0.8448029991182995
pseudo,question mark,1,1.0127170466236193,0.8,0.1701283903077377,0.8,0.21646323926644512,0.778188900258229,0.7906069859506809
pseudo,question mark,1,0.9767357283748914,0.8,0.1791654932004057,0.8,0.13851301359822477,0.6802528846772716,0.8842637615389286
pseudo,question mark,1,0.6544669547873827,0.8,0.19271100545929953,0.8,0.19158123897133267,0.7398572049938507,0.8526297065789834
pseudo,question mark,1,0.5203929090989108,1.0,0.20393285021973484,1.0,0.22454277719893395,0.7394261408001002,0.7996989569286661
pseudo,question mark,1,0.7322802219562813,1.0,0.19643624905383147,1.0,0.23334661090108977,0.6810495414852001,0.8300486307698943
pseudo,question mark,1,0.8048463244031749,0.8,0.1650248047394597,0.8,0.1746261339349375,0.7788699111658688,0.7821304363528053
pseudo,question mark,1,0.5638411098882101,0.8,0.17874678226301852,0.8,0.20630381615394927,0.8200996792251957,0.834161329980713
pseudo,question mark,1,0.7195333839328782,0.8,0.16369659401658318,0.8,0.13153951101774822,0.7348816588049852,0.7542161061996328
pseudo,question mark,1,0.6937009124800338,1.0,0.17828317297804866,1.0,0.20910689617618092,0.7925054826423794,0.8194761065753245
pseudo,question mark,1,0.7882721608196108,0.8,0.16800815276308262,0.8,0.1709137762233161,0.74908128874272,0.7731500658365287
pseudo,question mark,1,0.7349386633829724,0.6,0.1487772783283167,0.6,0.05936201053763568,0.6978099421350017,0.7235424596056139
pseudo,question mark,1,0.7307919138099239,0.8,0.16986595978797156,0.8,0.10822435685546439,0.7208910094788151,0.8519738507782831
pseudo,question mark,1,0.6726273190044394,0.6,0.16853794326801758,0.6,0.0797427515321193,0.6945042124154471,0.7982935433337016
pseudo,question mark,1,0.5951679849979543,0.4,0.1639445090829909,0.4,0.08108531580493716,0.639695833390793,0.7825689793866029
pseudo,question mark,1,0.9688095235105472,1.0,0.1548663033029771,1.0,0.09241236118867527,0.7775574472517127,0.8064790266475179
pseudo,question mark,1,0.530287297648374,0.8,0.1892587195530116,0.8,0.25200312469149927,0.7633046811411489,0.7962404910376162
pseudo,question mark,1,0.7233496036295012,0.8,0.15966600790409938,0.8,0.13370090695273296,0.7764970763361906,0.7909055198246653
pseudo,question mark,1,0.9472219856519912,1.0,0.17925488082667518,1.0,0.24467080238018463,0.8191852496733324,0.8203537603650588
pseudo,question mark,1,0.5985504110634966,0.8,0.16150953057832954,0.8,0.10529322640104002,0.6800504390869349,0.7137220536912084
pseudo,question mark,1,0.8364029230036456,0.6,0.16676193144911347,0.6,0.12590565699838743,0.6802708103019072,0.8407972833067756
