batch_size,lr,n_epochs,warmup,lambda2,accuracy,f1_score
128,0.0001,200,0.1,0.001,0.28205128205128205,0.26460086199476546
128,0.0001,200,0.2,0.001,0.28205128205128205,0.26460086199476546
128,0.0001,500,0.1,0.001,0.5441595441595442,0.5411273488577443
128,0.0001,500,0.2,0.001,0.5441595441595442,0.5411273488577443
128,0.0001,1000,0.1,0.001,0.6780626780626781,0.6792990395804391
128,0.0001,1000,0.2,0.001,0.6780626780626781,0.6792990395804391
128,0.001,200,0.1,0.001,0.7165242165242165,0.7176560787142604
128,0.001,200,0.2,0.001,0.7165242165242165,0.7176560787142604
128,0.001,500,0.1,0.001,0.7264957264957265,0.736700809273834
128,0.001,500,0.2,0.001,0.7264957264957265,0.736700809273834
128,0.001,1000,0.1,0.001,0.7264957264957265,0.736700809273834
