true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,correct
14.0,14,-1.6957023,-0.20325151,-0.45611525,-1.742127,1.482372,-0.18871799,-1.9418681,0.1316099,0.37026924,-0.9004955,0.26980746,-0.6497864,-0.3406182,-2.4616952,6.5794487,1
14.0,14,-1.6957024,-0.20325369,-0.45611313,-1.7421272,1.4823716,-0.18871556,-1.9418669,0.13161385,0.3702656,-0.90049446,0.2698055,-0.6497842,-0.34061873,-2.4616954,6.5794487,1
14.0,14,-1.6957043,-0.20325968,-0.45611167,-1.7421293,1.4823709,-0.18871306,-1.941865,0.13161978,0.3702619,-0.90049237,0.26980647,-0.6497791,-0.34061867,-2.4616957,6.5794497,1
14.0,14,-1.695702,-0.20325378,-0.4561147,-1.7421323,1.4823682,-0.188714,-1.9418684,0.13161549,0.3702684,-0.90049326,0.26980942,-0.6497822,-0.3406183,-2.4616957,6.579449,1
14.0,14,-1.6957035,-0.20325574,-0.45611462,-1.7421281,1.4823709,-0.18871689,-1.9418669,0.13161355,0.37026793,-0.9004945,0.26980922,-0.649783,-0.3406182,-2.4616954,6.5794477,1
14.0,14,-1.6957034,-0.2032553,-0.4561135,-1.7421267,1.482372,-0.18871775,-1.9418664,0.13161252,0.3702669,-0.9004947,0.26980764,-0.64978313,-0.34061813,-2.4616947,6.5794473,1
12.0,12,-0.7005624,0.45156762,-1.1081264,0.4888757,-0.5659094,-1.9859242,-0.89160293,-0.22099015,-0.41681767,0.018255234,-0.5858338,-0.21695796,7.374812,-0.29303473,-0.0049283355,1
12.0,12,-0.7005792,0.45172644,-1.1081523,0.48898703,-0.5657871,-1.9859014,-0.8917437,-0.22110158,-0.41671586,0.01820961,-0.58583397,-0.21712565,7.374788,-0.29326332,-0.0048507154,1
12.0,12,-0.6999237,0.45121425,-1.1087685,0.48771238,-0.56569266,-1.9850326,-0.89209545,-0.21873465,-0.41670138,0.017881244,-0.584972,-0.2169609,7.3747506,-0.29375476,-0.0049924776,1
12.0,12,-0.6998428,0.45095214,-1.1086571,0.48755997,-0.56598806,-1.9850676,-0.8918623,-0.21850261,-0.41697848,0.017994847,-0.5849997,-0.21663728,7.374807,-0.29331267,-0.005186029,1
12.0,12,-0.70065516,0.45191842,-1.1079698,0.48936617,-0.5659081,-1.9860485,-0.89171547,-0.22160873,-0.41682017,0.018357165,-0.5861017,-0.21717927,7.374803,-0.29316217,-0.0048672855,1
12.0,12,-0.70107865,0.4519088,-1.1080192,0.48953772,-0.5655763,-1.9862909,-0.8915595,-0.2221682,-0.41649377,0.018254787,-0.5861474,-0.2173658,7.37475,-0.2932933,-0.0045976415,1
1.0,1,-0.031791136,7.535373,-1.0398107,-1.4937483,-1.1758947,-0.28805628,-0.62164736,-1.6086702,0.04982092,-0.6897696,-1.9254047,-1.7593368,-0.31377417,-0.6792079,-0.35937658,1
1.0,1,-0.069708206,7.5363507,-1.0368569,-1.4604591,-1.1650722,-0.2806049,-0.6327164,-1.6146617,0.056683592,-0.697173,-1.9160719,-1.789573,-0.31476665,-0.712171,-0.3345578,1
1.0,1,-0.14720929,7.530503,-1.02925,-1.4492133,-1.1774707,-0.27236795,-0.67977905,-1.6205387,0.10233018,-0.67911124,-1.8828644,-1.806064,-0.31906396,-0.75910515,-0.2710327,1
1.0,1,-0.1330924,7.532965,-1.0304246,-1.4339617,-1.160754,-0.28228477,-0.6685718,-1.6210892,0.08647814,-0.69834876,-1.8876401,-1.8104529,-0.3177278,-0.7549725,-0.28563112,1
1.0,1,-0.059883825,7.53699,-1.040141,-1.4661189,-1.1681287,-0.28018832,-0.636167,-1.6106986,0.05702275,-0.6951789,-1.9193871,-1.7856351,-0.30974555,-0.7038754,-0.34158438,1
1.0,1,-0.032982253,7.5356402,-1.0422078,-1.4989696,-1.1813705,-0.280028,-0.6239443,-1.6035628,0.05236187,-0.68356824,-1.9281087,-1.7609414,-0.3123275,-0.67875725,-0.3580891,1
11.0,11,-0.86052984,-1.6458209,0.07525087,-1.5972712,-0.09382186,0.25496075,1.1487943,0.050371673,-1.1714221,2.0337644,0.5181141,7.439513,-0.65582794,-0.22399932,0.27978468,1
11.0,11,-0.8590514,-1.6450572,0.06989605,-1.5972931,-0.08826356,0.254246,1.1484778,0.051229756,-1.1718296,2.0375998,0.51198125,7.4400926,-0.65599924,-0.2216471,0.27758574,1
