true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,correct
2.0,2,-0.6965076,-2.3397923,5.5774093,0.6923449,-0.25417736,0.15446895,0.6874053,0.23754248,0.03752532,-1.4566538,1
2.0,2,-0.69639355,-2.3396773,5.5774693,0.6922018,-0.25412714,0.15429172,0.6872497,0.23741838,0.03752745,-1.4565978,1
2.0,2,-0.69647473,-2.3389227,5.5778246,0.6918667,-0.2543895,0.1536771,0.686791,0.23697469,0.037653685,-1.4560909,1
2.0,2,-0.6962684,-2.338992,5.577811,0.69160604,-0.25429952,0.15323679,0.6867839,0.2371167,0.0375963,-1.4560709,1
2.0,2,-0.6959593,-2.3390374,5.5777473,0.6916381,-0.25395915,0.15345708,0.6866921,0.23675326,0.037583277,-1.4563526,1
2.0,2,-0.6960109,-2.3390775,5.577723,0.691725,-0.25397626,0.15358073,0.6867446,0.23677135,0.037588805,-1.4563862,1
4.0,4,1.2897846,2.4141188,-2.3897057,-1.0770097,3.4938335,1.6413218,-0.6708475,-0.79484725,-0.45020962,-2.007043,1
4.0,4,1.2898364,2.414205,-2.38974,-1.07703,3.4937913,1.6412648,-0.67094916,-0.7949637,-0.4501778,-2.0069537,1
4.0,4,1.2905282,2.4143584,-2.3887215,-1.0763773,3.493948,1.6414768,-0.6712135,-0.79752004,-0.44996846,-2.0072339,1
4.0,4,1.2891449,2.4117649,-2.3893225,-1.0739247,3.4946065,1.6444576,-0.6672387,-0.79530513,-0.45070532,-2.010192,1
4.0,4,1.2902188,2.4129336,-2.388884,-1.0747972,3.4942193,1.6432841,-0.66921496,-0.7974659,-0.45027143,-2.008855,1
4.0,4,1.2903376,2.4128988,-2.388934,-1.0750569,3.4941666,1.6431788,-0.6693802,-0.7973902,-0.45028144,-2.008711,1
4.0,4,0.28037068,1.7826955,-1.558374,0.260648,3.6957064,2.7519014,-0.36458582,-2.2793334,0.027022056,-2.4675107,1
4.0,4,0.2804133,1.7826697,-1.5582479,0.26060686,3.6957552,2.7518394,-0.3646015,-2.2793665,0.027022704,-2.4675357,1
4.0,4,0.2803691,1.7825987,-1.5582265,0.26069167,3.6957269,2.7518928,-0.36452928,-2.2793577,0.02701898,-2.4675705,1
4.0,4,0.28035697,1.7825835,-1.5582289,0.26071528,3.695714,2.7519104,-0.36451215,-2.279355,0.02701798,-2.4675777,1
4.0,4,0.28033516,1.7825801,-1.5582346,0.26075342,3.6956952,2.7519262,-0.3644951,-2.279367,0.027021207,-2.4675827,1
4.0,4,0.28033507,1.7825944,-1.5582471,0.26075017,3.6956933,2.7519238,-0.36450323,-2.2793696,0.027022935,-2.4675772,1
4.0,4,0.09558344,1.3208187,-0.5371844,0.019808788,4.057828,2.4513466,-0.32992235,-1.6480803,-0.077495106,-2.9107692,1
4.0,4,0.09572832,1.3207378,-0.53684145,0.019460011,4.057972,2.4510221,-0.33007795,-1.6479949,-0.07747287,-2.9107652,1
4.0,4,0.09561017,1.3205063,-0.5366454,0.01976531,4.057876,2.4511669,-0.32983094,-1.6481489,-0.07745633,-2.9109192,1
4.0,4,0.09558387,1.3203509,-0.5365771,0.019758314,4.0579047,2.4511602,-0.32969975,-1.6480579,-0.07746322,-2.9110262,1
4.0,4,0.095465034,1.3202826,-0.53669244,0.020015828,4.057807,2.451371,-0.32951164,-1.6480993,-0.07747849,-2.9111023,1
4.0,4,0.09541783,1.3203399,-0.536825,0.020179804,4.057769,2.4514794,-0.32944906,-1.6482029,-0.07746678,-2.9111,1
2.0,2,-0.9101964,-2.3871746,5.5990586,0.91383284,-0.5641587,-0.057686023,0.8857879,0.5127591,0.032743156,-1.100459,1
2.0,2,-0.91583055,-2.385781,5.600515,0.9121758,-0.5677124,-0.057607077,0.88337576,0.5175432,0.03324075,-1.0961813,1
2.0,2,-0.91593933,-2.3856735,5.599382,0.91522217,-0.56751215,-0.056584485,0.8876091,0.5149274,0.033784524,-1.0985007,1
2.0,2,-0.9152407,-2.3813655,5.601223,0.9187932,-0.5667831,-0.054417603,0.887429,0.5044211,0.035404786,-1.099686,1
2.0,2,-0.91920793,-2.3816617,5.6020603,0.9200668,-0.5696465,-0.05137577,0.8857522,0.5068308,0.035671227,-1.0975968,1
2.0,2,-0.91548496,-2.3880887,5.598411,0.9197698,-0.56833386,-0.052701734,0.88988256,0.5130006,0.033577546,-1.1004047,1
0.0,0,4.638831,1.4248317,-1.1498426,-1.7895641,0.9698628,-1.8103582,-0.02428148,-2.1568482,-0.4259342,-0.3167041,1
0.0,0,4.6388316,1.424831,-1.1498427,-1.7895643,0.9698626,-1.8103585,-0.024280945,-2.156848,-0.4259342,-0.31670386,1
0.0,0,4.6388316,1.424831,-1.149842,-1.7895637,0.96986306,-1.8103583,-0.024281165,-2.1568487,-0.42593393,-0.31670415,1
0.0,0,4.6388316,1.4248307,-1.1498433,-1.7895634,0.96986306,-1.8103572,-0.024280276,-2.1568487,-0.4259343,-0.3167047,1
0.0,0,4.6388316,1.4248307,-1.1498435,-1.7895633,0.96986246,-1.8103573,-0.024280364,-2.1568487,-0.42593414,-0.31670427,1
0.0,0,4.6388326,1.4248312,-1.1498442,-1.7895635,0.9698628,-1.8103572,-0.024280535,-2.1568487,-0.42593417,-0.31670427,1
1.0,1,-0.40840518,2.1654809,1.7946519,-3.1861727,-0.3945154,-2.914873,-0.9458985,0.14790033,0.09788462,2.1601245,1
1.0,1,-0.40718332,2.1713321,1.7928735,-3.1858025,-0.3924336,-2.9143856,-0.9505734,0.14234167,0.09879679,2.1592164,1
1.0,1,-0.4049913,2.1781,1.8039142,-3.180161,-0.39176425,-2.9127655,-0.9564627,0.129246,0.099571995,2.1526244,1
1.0,1,-0.4120877,2.177988,1.801361,-3.17686,-0.39545655,-2.9121988,-0.94858944,0.13164222,0.09979389,2.1546845,1
1.0,1,-0.41659606,2.168827,1.7878289,-3.1829417,-0.39988282,-2.9138687,-0.94444716,0.151825,0.09796799,2.1667109,1
1.0,9,-0.41484284,2.162593,1.7857019,-3.187104,-0.3997411,-2.91507,-0.9433461,0.1597026,0.09692504,2.1690335,0
