true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,correct
2.0,2,-0.88861805,-2.7047431,9.500583,3.7222114,-1.7624569,0.7065882,-0.46161583,-0.5687191,-0.67350304,-1.319632,-0.962762,1.6198568,-1.525917,-0.7361191,-1.7422785,1
2.0,2,-0.888736,-2.7046814,9.500547,3.7223713,-1.7624428,0.7065982,-0.46162167,-0.56877494,-0.6735093,-1.3196353,-0.9627751,1.6198016,-1.5259064,-0.73620075,-1.742273,1
2.0,2,-0.88948256,-2.7042892,9.500295,3.7233655,-1.7627293,0.7071531,-0.46167704,-0.569132,-0.6735742,-1.319517,-0.96297866,1.6195459,-1.5256404,-0.7366845,-1.7421583,1
2.0,2,-0.888895,-2.7046077,9.500505,3.7225797,-1.7624792,0.7066608,-0.46163794,-0.56886476,-0.6734836,-1.3196398,-0.96280944,1.6197609,-1.5258483,-0.73632497,-1.7422411,1
2.0,2,-0.8887766,-2.7046738,9.500538,3.722469,-1.7623378,0.7065277,-0.46161377,-0.5688245,-0.6735175,-1.3196877,-0.9627676,1.6197512,-1.5259367,-0.7362491,-1.7422705,1
2.0,2,-0.8886554,-2.7047236,9.50057,3.7222695,-1.7624215,0.7065545,-0.46161824,-0.56873846,-0.6735131,-1.3196449,-0.96275824,1.6198283,-1.5259302,-0.7361403,-1.7422838,1
3.0,3,-3.2346745,-2.1259885,2.6459699,6.872127,-1.3665259,0.37471318,-1.7136384,-1.946315,3.3726118,1.0369056,-1.8046885,1.1626135,-1.0416806,-1.7992234,-2.4109335,1
3.0,3,-3.2348878,-2.1277034,2.6429164,6.878882,-1.3654221,0.37537527,-1.7125444,-1.9490979,3.3671048,1.030729,-1.8022285,1.1610035,-1.0423355,-1.7957294,-2.4091127,1
3.0,3,-3.2263138,-2.1248825,2.64835,6.873056,-1.3715198,0.37199003,-1.7161957,-1.9458723,3.3621624,1.0309336,-1.8004384,1.1656287,-1.0424385,-1.7925483,-2.413443,1
3.0,3,-3.2455788,-2.1280484,2.6373093,6.8889127,-1.3583308,0.378399,-1.7092606,-1.952508,3.3593783,1.0238214,-1.8056365,1.1585536,-1.0360184,-1.7960155,-2.4042606,1
3.0,3,-3.2284687,-2.1279855,2.6443143,6.8799243,-1.3696133,0.37359217,-1.7134235,-1.94981,3.3675005,1.0322307,-1.7992927,1.1573375,-1.0457883,-1.7934784,-2.41019,1
3.0,3,-3.2389834,-2.1255322,2.6438434,6.872644,-1.3637023,0.3757679,-1.7128406,-1.9466696,3.3720417,1.0355855,-1.8066431,1.1641744,-1.0389833,-1.8001691,-2.409946,1
12.0,12,-1.6845398,-0.28792,-0.7343336,-1.0651637,-1.3564236,-1.530377,-1.3756022,-1.2505748,0.11308284,0.85841906,1.5073156,6.8997397,7.171539,-0.7301678,-0.005974505,1
12.0,12,-1.461903,-0.010141924,-0.8481714,-0.69009835,-1.2325238,-1.3618661,-1.1239382,-1.2417008,0.50518906,0.87755084,1.0735295,6.3139734,7.260008,-1.0860591,-0.77797484,1
12.0,12,-1.6918211,-0.47157323,-0.74889016,-1.1437814,-1.4135494,-1.5919257,-1.4348421,-1.2916659,-0.06588982,0.66499364,1.7529161,7.0226064,7.104717,-0.4665572,0.21997772,1
12.0,12,-1.7432121,-0.41031593,-0.75470245,-1.2752018,-1.639739,-1.678013,-1.396874,-1.1429423,-0.05279913,0.6741364,2.440949,6.3485518,7.567838,-0.8916371,0.3908957,1
12.0,12,-1.6157992,-0.51015186,-0.7472949,-1.1933413,-1.4971323,-1.6228758,-1.3008361,-1.1737663,-0.16373497,0.6999527,2.2346952,6.6354427,7.3880825,-0.7510826,0.17676792,1
12.0,12,-1.6093694,-0.29138452,-0.73460114,-1.0200286,-1.3998144,-1.557028,-1.4004515,-1.2246791,0.0061194263,0.7560101,1.5722007,6.6150284,7.489141,-0.7744829,0.058972385,1
