true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,prob_class_19,prob_class_20,prob_class_21,prob_class_22,correct
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
4.0,4,1.8301207,-3.368936,-1.6017593,3.4363804,11.411689,-4.2032933,-3.8484354,-4.2149277,-4.485686,-4.291193,-3.936381,-4.237088,-4.210767,-4.241681,-4.2524924,-4.290598,-3.502867,-4.0570297,-4.2943687,-4.007233,-3.874623,-4.6320915,-4.126191,1
1.0,1,-0.81411433,11.972338,-2.5456796,-3.1440816,-1.6789546,-3.5716023,-3.0786986,-3.5506606,-3.6633587,-3.5924997,-3.1330218,-3.5475204,-3.518968,-3.495188,-3.609942,-3.488512,-2.7571545,-3.3956769,-3.64221,-3.3552485,-3.0711133,-3.930623,-3.3983707,1
1.0,1,-0.8141129,11.972336,-2.5456772,-3.1440792,-1.6789587,-3.5716019,-3.0786982,-3.5506601,-3.663358,-3.5924993,-3.1330214,-3.5475197,-3.5189676,-3.4951875,-3.6099415,-3.4885116,-2.757154,-3.3956764,-3.6422095,-3.3552477,-3.0711129,-3.9306226,-3.3983703,1
1.0,1,-0.81411433,11.972338,-2.5456796,-3.1440816,-1.6789548,-3.5716023,-3.0786986,-3.5506606,-3.6633587,-3.5924997,-3.1330218,-3.5475202,-3.518968,-3.495188,-3.609942,-3.488512,-2.7571545,-3.3956769,-3.64221,-3.3552482,-3.0711133,-3.9306228,-3.3983707,1
1.0,1,-0.81411433,11.972338,-2.5456796,-3.1440816,-1.6789546,-3.5716023,-3.0786986,-3.5506606,-3.6633587,-3.5924997,-3.1330218,-3.5475204,-3.518968,-3.495188,-3.609942,-3.488512,-2.7571545,-3.3956769,-3.64221,-3.3552485,-3.0711133,-3.930623,-3.3983707,1
1.0,1,-0.81411433,11.972338,-2.5456796,-3.1440816,-1.6789546,-3.5716023,-3.0786986,-3.5506606,-3.6633587,-3.5924997,-3.1330218,-3.5475204,-3.518968,-3.495188,-3.609942,-3.488512,-2.7571545,-3.3956769,-3.64221,-3.3552485,-3.0711133,-3.930623,-3.3983707,1
1.0,1,-0.81411433,11.97234,-2.5456796,-3.1440816,-1.6789548,-3.5716023,-3.0786986,-3.5506606,-3.6633587,-3.5924997,-3.1330218,-3.5475204,-3.518968,-3.495188,-3.609942,-3.488512,-2.7571547,-3.3956766,-3.64221,-3.3552482,-3.0711133,-3.930623,-3.3983707,1
2.0,2,-1.9404578,-4.0843487,7.073019,6.008845,1.0153944,-3.7602758,-3.312069,-3.75937,-4.0375347,-3.829742,-3.4289436,-3.806863,-3.7377071,-3.7951226,-3.815921,-3.8140178,-3.1847749,-3.63946,-3.826807,-3.5485911,-3.4338713,-4.158879,-3.7351148,1
