true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,correct
1.0,1,-1.9869866,8.460691,-1.5851663,-2.4767957,-1.2648048,-1.1417179,-0.7740657,-1.5138128,-0.89146054,-0.8640951,1
1.0,1,-2.2893858,8.30531,-1.5139958,-2.4995012,-1.4476944,-0.74848956,-0.65735596,-1.5581775,-0.9375107,-0.9390327,1
1.0,1,-2.69017,8.004611,-1.3940539,-2.6283545,-1.4539506,-0.39815903,-0.122489505,-1.6135312,-0.951789,-0.9610684,1
1.0,1,-1.9851243,8.215504,-1.8141893,-2.515039,-1.7259283,-0.7146548,-0.32065174,-1.6240269,-1.0049331,-1.0450038,1
1.0,1,-1.3961278,8.300046,-1.9521949,-2.4748087,-1.8835988,-1.0735402,-0.5194603,-1.6116055,-1.0731117,-0.9240991,1
1.0,1,-1.6254202,8.512596,-1.7190065,-2.4257338,-1.4265853,-1.2580366,-0.81202066,-1.5148909,-0.94214845,-0.924757,1
3.0,3,-1.1005087,-2.4540446,-1.9329622,8.339159,-0.23214972,-3.1902044,-0.54816836,-1.2741777,-1.0399404,1.3931818,1
3.0,3,-1.1005087,-2.4540443,-1.9329613,8.33916,-0.23215014,-3.1902032,-0.54816806,-1.2741773,-1.0399405,1.3931804,1
3.0,3,-1.1005089,-2.4540446,-1.9329616,8.33916,-0.23215038,-3.1902037,-0.5481686,-1.2741779,-1.0399404,1.3931822,1
3.0,3,-1.1005088,-2.4540443,-1.9329604,8.33916,-0.23214996,-3.1902041,-0.5481694,-1.2741779,-1.0399404,1.3931816,1
3.0,3,-1.1005086,-2.4540446,-1.9329612,8.33916,-0.23214996,-3.190204,-0.5481694,-1.2741778,-1.0399405,1.3931825,1
3.0,3,-1.1005083,-2.4540443,-1.9329612,8.339159,-0.23214996,-3.1902041,-0.54816926,-1.2741777,-1.0399404,1.3931823,1
3.0,3,-1.0700177,-2.3274336,-1.6770593,8.676605,-0.607244,-1.1103101,-1.3319843,-1.2321138,-0.8953142,-0.3645425,1
3.0,3,-1.0700172,-2.3274326,-1.6770598,8.676603,-0.607244,-1.1103107,-1.3319849,-1.2321138,-0.8953147,-0.36454234,1
3.0,3,-1.0700175,-2.3274322,-1.6770585,8.676603,-0.60724473,-1.11031,-1.331985,-1.2321138,-0.8953147,-0.36454245,1
3.0,3,-1.0700175,-2.3274322,-1.6770577,8.676603,-0.6072446,-1.1103103,-1.3319845,-1.232114,-0.89531505,-0.36454305,1
3.0,3,-1.0700173,-2.3274326,-1.6770588,8.676604,-0.60724413,-1.1103103,-1.3319844,-1.2321138,-0.8953146,-0.3645427,1
3.0,3,-1.0700179,-2.3274326,-1.6770588,8.676603,-0.6072457,-1.1103091,-1.3319845,-1.2321136,-0.8953147,-0.36454245,1
3.0,3,-0.91290736,-1.6792449,-2.640365,8.131585,-0.3772878,-0.19833392,-1.7387563,-1.4419472,-0.97955537,-0.46070942,1
3.0,3,-0.91290796,-1.6792439,-2.6403663,8.131584,-0.37728783,-0.19833249,-1.7387551,-1.4419476,-0.9795556,-0.46071008,1
